iter	Passed	Remaining
0	0	516
1	0	425
2	1	367
3	1	331
4	1	319
5	1	308
6	2	298
7	2	291
8	2	288
9	2	285
10	3	281
11	3	281
12	3	276
13	3	273
14	4	269
15	4	266
16	4	265
17	4	265
18	5	263
19	5	262
20	5	261
21	5	261
22	6	261
23	6	259
24	6	258
25	6	256
26	7	256
27	7	255
28	7	254
29	7	254
30	8	254
31	8	254
32	8	253
33	8	252
34	9	252
35	9	252
36	9	253
37	9	252
38	10	254
39	10	252
40	10	251
41	10	250
42	11	250
43	11	252
44	11	251
45	12	251
46	12	250
47	12	250
48	12	250
49	13	252
50	13	253
51	14	255
52	14	255
53	14	256
54	14	257
55	15	256
56	15	256
57	15	255
58	15	254
59	16	253
60	16	252
61	16	252
62	17	253
63	17	252
64	17	252
65	17	252
66	18	251
67	18	251
68	18	251
69	18	250
70	19	250
71	19	250
72	19	249
73	19	249
74	20	248
75	20	248
76	20	247
77	20	247
78	21	247
79	21	246
80	21	247
81	22	247
82	22	245
83	22	244
84	22	243
85	22	243
86	23	243
87	23	242
88	23	242
89	23	242
90	24	241
91	24	240
92	24	240
93	24	239
94	25	239
95	25	238
96	25	238
97	25	238
98	26	238
99	26	237
100	26	237
101	26	236
102	27	237
103	27	238
104	27	238
105	28	238
106	28	239
107	29	240
108	29	240
109	29	240
110	29	239
111	30	239
112	30	239
113	30	238
114	30	237
115	31	236
116	31	235
117	31	235
118	31	234
119	31	234
120	32	234
121	32	233
122	32	233
123	32	233
124	33	232
125	33	232
126	33	232
127	34	231
128	34	231
129	34	230
130	34	230
131	35	230
132	35	229
133	35	229
134	35	229
135	36	228
136	36	228
137	36	229
138	37	229
139	37	229
140	37	229
141	37	229
142	38	229
143	38	228
144	38	228
145	39	228
146	39	227
147	39	227
148	39	227
149	40	226
150	40	226
151	40	226
152	40	226
153	41	225
154	41	225
155	41	224
156	41	224
157	42	224
158	42	223
159	42	223
160	42	222
161	42	222
162	43	222
163	43	221
164	43	221
165	44	221
166	44	220
167	44	220
168	44	220
169	45	219
170	45	219
171	45	219
172	45	218
173	46	218
174	46	218
175	46	217
176	46	217
177	47	217
178	47	216
179	47	216
180	47	216
181	48	215
182	48	215
183	48	215
184	48	214
185	48	214
186	49	214
187	49	213
188	49	213
189	50	213
190	50	212
191	50	212
192	50	212
193	51	212
194	51	211
195	51	211
196	51	211
197	52	210
198	52	210
199	52	210
200	52	210
201	53	210
202	53	210
203	53	210
204	54	210
205	54	210
206	54	210
207	55	210
208	55	210
209	55	209
210	56	209
211	56	209
212	56	208
213	56	208
214	57	208
215	57	208
216	57	207
217	57	207
218	58	206
219	58	206
220	58	206
221	58	205
222	58	205
223	59	205
224	59	204
225	59	204
226	59	204
227	60	204
228	60	204
229	61	204
230	61	204
231	61	204
232	61	204
233	62	203
234	62	203
235	62	202
236	62	202
237	63	202
238	63	202
239	63	201
240	63	201
241	64	200
242	64	200
243	64	200
244	64	200
245	65	199
246	65	199
